date,open,high,low,close
"20121012  14:52:00",0.11,0.11,0.10,0.11
"20121012  14:53:00",0.11,0.19,0.11,0.15
"20121012  14:54:00",0.18,0.18,0.17,0.17
"20121012  14:55:00",0.13,0.20,0.13,0.20
"20121012  14:56:00",0.15,0.19,0.15,0.19
"20121012  14:57:00",0.16,0.16,0.14,0.14
"20121012  14:58:00",0.14,0.16,0.12,0.12
"20121012  14:59:00",0.14,0.14,0.14,0.14
"20121012  15:00:00",0.12,0.12,0.11,0.12
"20121012  15:01:00",0.11,0.11,0.08,0.10
"20121012  15:02:00",0.08,0.11,0.08,0.11
"20121012  15:03:00",0.09,0.09,0.08,0.09
"20121012  15:04:00",0.08,0.08,0.06,0.06
"20121012  15:05:00",0.06,0.07,0.03,0.05
"20121012  15:06:00",0.05,0.05,0.03,0.05
"20121012  15:07:00",0.05,0.05,0.03,0.04
"20121012  15:08:00",0.03,0.06,0.03,0.05
"20121012  15:09:00",0.05,0.05,0.03,0.05
"20121012  15:10:00",0.05,0.05,0.02,0.02
"20121012  15:11:00",0.03,0.05,0.02,0.05
"20121012  15:12:00",0.04,0.05,0.02,0.02
"20121012  15:13:00",0.03,0.04,0.02,0.03
"20121012  15:14:00",0.03,0.03,0.02,0.03
"20121012  15:15:00",0.03,0.04,0.03,0.03
"20121012  15:16:00",0.03,0.03,0.02,0.03
"20121012  15:17:00",0.03,0.03,0.02,0.03
"20121012  15:18:00",0.03,0.04,0.02,0.04
"20121012  15:19:00",0.03,0.04,0.03,0.04
"20121012  15:20:00",0.03,0.03,0.02,0.03
"20121012  15:21:00",0.03,0.03,0.03,0.03
"20121012  15:22:00",0.04,0.04,0.03,0.03
"20121012  15:23:00",0.03,0.03,0.02,0.03
"20121012  15:24:00",0.01,0.03,0.01,0.02
"20121012  15:25:00",0.01,0.03,0.01,0.03
"20121012  15:26:00",0.04,0.04,0.04,0.04
"20121012  15:27:00",0.02,0.03,0.01,0.02
"20121012  15:28:00",0.03,0.03,0.03,0.03
"20121012  15:29:00",0.03,0.03,0.03,0.03
"20121012  15:30:00",0.02,0.03,0.01,0.01
"20121012  15:31:00",0.03,0.03,0.02,0.02
"20121012  15:32:00",0.02,0.03,0.01,0.02
"20121012  15:33:00",0.02,0.03,0.01,0.01
"20121012  15:34:00",0.01,0.02,0.01,0.02
"20121012  15:35:00",0.01,0.02,0.01,0.02
"20121012  15:36:00",0.01,0.02,0.01,0.02
"20121012  15:37:00",0.01,0.02,0.01,0.01
"20121012  15:38:00",0.02,0.02,0.01,0.01
"20121012  15:39:00",0.02,0.02,0.01,0.02
"20121012  15:40:00",0.02,0.02,0.01,0.01
"20121012  15:41:00",0.02,0.02,0.02,0.02
"20121012  15:42:00",0.01,0.02,0.01,0.02
"20121012  15:43:00",0.02,0.02,0.01,0.01
"20121012  15:44:00",0.01,0.02,0.01,0.01
"20121012  15:45:00",0.02,0.02,0.01,0.02
"20121012  15:46:00",0.02,0.02,0.01,0.01
"20121012  15:47:00",0.01,0.01,0.01,0.01
"20121012  15:48:00",0.01,0.02,0.01,0.02
"20121012  15:49:00",0.01,0.02,0.01,0.02
"20121012  15:50:00",0.01,0.02,0.01,0.02
"20121012  15:51:00",0.02,0.02,0.01,0.01
"20121012  15:52:00",0.01,0.02,0.01,0.02
"20121012  15:53:00",0.01,0.02,0.01,0.02
"20121012  15:54:00",0.01,0.02,0.01,0.01
"20121012  15:55:00",0.01,0.02,0.01,0.01
"20121012  15:56:00",0.01,0.01,0.01,0.01
"20121012  15:57:00",0.01,0.01,0.01,0.01
"20121012  15:58:00",0.01,0.01,0.01,0.01
"20121012  15:59:00",0.01,0.01,0.01,0.01
